,questions,categories,answers
811,A cédula de 200 reais pode causar problemas de falta de troco?,"Cédula de R$200,00 Lançamento da cédula de 200 reais","Umdos maiores desafios do Banco Central é buscar o equilíbrio entre as quantidades das denominações do Real em circulação.Por isso, o BC monitora diariamente a necessidade de troco com a ajuda da rede bancária e trabalha para atendê-la.  A quantidade de notas de 100 reais em circulação pode indicar que não teremos dificuldades para troco no caso de pagamentos com a nota de 200 reais. Além disso, a nova cédula entrará em circulação gradualmente, conforme demanda adicional da população.  Veja a distribuição de notas em circulação no país:"
812,Existe um limite máximo para as taxas de juros cobradas pela instituição financeira que me forneceu o cartão de crédito?,Cartão de Crédito e Crédito Rotativo,Não. As taxas de juros são livremente pactuadas entre as instituições financeiras e os clientes.
813,A qual órgão deve ser dirigido o recurso?,Processo Administrativo Sancionador Recurso às decisões,"A petição recursal deverá ser apresentada ao BC e dirigida ao Conselho de Recursos do Sistema Financeiro Nacional (CRSFN), última instância recursal no âmbito administrativo para julgamento do PAS. A legitimidade para recorrer é exclusiva do apenado, sendo vedado o agravamento da penalidade em razão do recurso. As sessões e as decisões do CRSFN serão públicas."
814,Como deve ser formalizada a proposta de Termo de Compromisso?,Termo de Compromisso Informações gerais,"A proposta deve ser formalizada por petição simples endereçada ao Departamento de GestãoEstratégica, Integração e Suporte da Fiscalização (Degef), do BC. Os proponentes poderão ser representados por procurador, desde que juntem instrumento de mandato, outorgando poderes específicos. O documento pode ser enviado peloProtocolo Digital, pelos Correios ou protocolado diretamente em qualquer sede do BC. *Como prevenção ao Covid-19, o protocolo presencial está temporariamente suspenso. Utilize oProtocolo Digital."
815,O que são moedas comemorativas?,Moedas Comemorativas,"São moedas de tiragem limitada que tem por objetivo celebrar fatos, eventos, entidades ou personalidades de elevado interesse nacional ou internacional."
816,Quais são as principais características de um empréstimo?,"Empréstimo, financiamento e arrendamento mercantil (leasing) Operação de crédito e seus principais tipos","O empréstimo é uma operação mais simples e mais rápida, por não haver finalidade específica para o valor liberado, mas que pode ter custos e riscos maiores para o banco. Por isso, você é avaliado quanto à sua capacidade de pagamento e ao seu histórico de crédito."
817,Como fazer para compartilhar minhas informações?,Open Banking  Como funciona o compartilhamento,"Tudo deve ser feito de forma eletrônica. Importante! Se você fizer transações de pagamento sucessivas, para um mesmo recebedor e decorrentes de um mesmo negócio jurídico ou relação jurídica, poderá definir que a autorização valerá por mais de 12 meses ou até que essas transações acabem.    Créditos da imagem: Estrutura de Governança do Open Banking"
818,O Banco Central tabela o valor das tarifas cobradas pelos bancos?,Banco Central do Brasil,"O Banco Central não determina valores de tarifas. Entretanto, existem alguns serviços que os bancos devem fornecer gratuitamente. Respeitadas as proibições, cada instituição é livre para estabelecer o valor de suas tarifas.  Veja as perguntas mais frequentes sobre tarifas bancárias."
819,O que é o Sandbox regulatório?,Sandbox Regulatório Informações Gerais,"O Ambiente Controlado de Testes para Inovações Financeiras e de Pagamento (Sandbox Regulatório) é um ambiente em que entidades são autorizadas pelo Banco Central (BC) para testar, por período determinado, projeto inovador na área financeira ou de pagamento, observando um conjunto específico de disposições regulamentares que amparam a realização controlada e delimitada de suas atividades.  Mais informações sobre o Sandbox podem ser obtidasaqui."
820,Qual o prazo para pagamento dos créditos em caso de intervenção ou liquidação?,Fundo Garantidor do Cooperativismo (FGCoop),"O pagamento dos créditos garantidos será iniciado em até 30 (trinta) dias após o recebimento, pelo FGCoop, da informação sobre os valores correspondentes ao pagamento das garantias, a ser fornecida pelo representante legal da instituição sobre intervenção ou em liquidação extrajudicial."
821,Será possível consultar as informações de valores a receber de outras pessoas?,Valores a Receber,"Por meio do SVR, não. Como as informações são sigilosas, só é permitida a consulta da própria pessoa natural ou por representante da empresa.  Contudo, as informações de terceiros poderão ser consultadas peloFale Conosco do BC, desde que instruídas com a documentação necessária."
822,Como será feito o reconhecimento da nova cédula pelos deficientes visuais?,SEM-CATEGORIA,"Com relação à diferenciação das denominações da Segunda Família do Real por pessoas com deficiência visual, haverá marca tátil própria, que são barras em alto-relevo localizadas no canto inferior direito da frente da nota de 200 reais. Para facilitar a identificação das denominações por pessoas com visão subnormal, serão utilizados os numerais de tamanho grande e as cores predominantes diferenciadas. Lógica utilizada nas marcas táteis nas cédulas da Segunda Família:DenominaçãoMarca Tátil2 reais   uma barra inclinada5 reais uma barra horizontal10 reais duas barras verticais20 reais duas barras inclinadas50 reais duas barras horizontais100 reais três barras verticais200 reais três barras inclinadas"
823,Quais instituições são obrigatoriamente associadas ao FGC?,Fundo Garantidor de Créditos (FGC) Instituições financeiras associadas ao FGC,"São obrigatoriamente associadas ao FGC a Caixa Econômica Federal, os bancos múltiplos, os bancos comerciais, os bancos de investimento, os bancos de desenvolvimento, as sociedades de crédito, financiamento e investimento, as sociedades de crédito imobiliário, as companhias hipotecárias e as associações de poupança e empréstimo, em funcionamento no País, que: recebam depósitos à vista, em contas de poupança ou depósitos a prazo;realizem aceite em letras de câmbio;captem recursos mediante a emissão e a colocação de letras imobiliárias, de letras hipotecárias, de letras de crédito imobiliário ou de letras de crédito do agronegócio; ecaptem recursos por meio de operações compromissadas tendo como objeto títulos de emissão de empresa ligada. Recomendamos acessar o site do FGC para verificar se a instituição na qual você está depositando ou investindo seus recursos é associada ao FGC."
824,Que informações sobre meu limite devem aparecer no extrato?,Cheque especial Uso do limite de Cheque Especial,"A instituição é livre para dispor sobre o formato e as informações que devem constar no extrato do cheque especial.  Entretanto, algumas informações mínimas são obrigatórias para os extratos fornecidos a pessoas naturais e microempreendedores individuais (MEI), tais como: limite de crédito contratado; saldo devedor na data do fornecimento do extrato; valores utilizados diariamente; valor e forma de apuração da eventual tarifa cobrada pela disponibilização do limite de crédito; taxa de juros efetiva ao mês; e valor dos juros acumulado no período de apuração, até a data do fornecimento do extrato, destacando eventual dedução realizada em decorrência da cobrança da tarifa.  ATENÇÃO: Essas informações obrigatórias devem ser fornecidas a partir de: 01/06/2020 pelas instituições que estiverem cobrando tarifa pela disponibilização de limite de cheque especial; e01/11/2020 pelas instituições que não optarem pela cobrança dessa tarifa."
